Categoria,Nome Elemento,ID Elemento,Stato
Griglie,01,658877,1
Griglie,02,659059,1
Griglie,03,659066,1
Griglie,04,659079,1
Griglie,05,659090,1
Griglie,06,659101,1
Griglie,07,659110,1
Griglie,08,659121,1
Griglie,09,659132,1
Griglie,10,659143,1
Griglie,11,659154,1
Griglie,12,659163,1
Griglie,13,659172,1
Griglie,14,659181,1
Griglie,15,659190,1
Griglie,16,659199,1
Griglie,17,659212,1
Griglie,18,659225,1
Griglie,19,659234,1
Griglie,20,659247,1
Griglie,21,659256,1
Griglie,22,659263,1
Griglie,23,659279,1
Griglie,24,659288,1
Griglie,25,659299,1
Griglie,26,659308,1
Griglie,27,659319,1
Griglie,28,659326,1
Griglie,A,659574,1
Griglie,B,659653,1
Griglie,C,659694,1
Griglie,D,659703,1
Griglie,E,659710,1
Griglie,G,659717,1
Griglie,H,659726,1
Griglie,J,659733,1
Griglie,K,659740,1
Griglie,L,659747,1
Griglie,M,659779,1
Griglie,I,674776,1
Griglie,F,674864,1
Griglie,A',1034056,1
Griglie,B',1105854,1
Griglie,E',1105945,1
Griglie,15',1106039,1
Griglie,15'',1106044,1
Griglie,21',1106221,1
Griglie,12',1159452,1
Griglie,13',1159559,1
Livelli,AR_LIV_PE_P00_+0.00m,311,1
Livelli,AR_LIV_PE_P01_+5.20m,638329,1
Livelli,AR_LIV_PE_P02_+10.40m,638415,1
Livelli,ST_LIV_PE_P01_+5.08m,661130,1
Livelli,ST_LIV_PE_P00_-0.48m,661520,1
Livelli,ST_LIV_PE_P02_+10.28m,661624,1
Livelli,AR_LIV_PE_PC2_+15.73m,661743,1
Livelli,ST_LIV_PE_PC2_+15.48m,661744,1
Livelli,AR_LIV_PE_PC1_+12.83m,670266,1
Livelli,ST_LIV_PE_PC1_+12.50m,675252,1
